"aqExample"
"20180701 - 20180731"
"SO4"
""
"IMPROVE"
"network","stat_id","lat","lon","row","col","ob_dates","ob_datee","ob_hour","month","SO4_ob","SO4_mod","POCode","state","county","stat_id_noPOC"
"IMPROVE","BAND11",35.7797,-106.2664,"109","144",2018-07-16,2018-07-16,"00",7,0.47909,0.23733,"1","NM"," Los Alamos","BAND1"
"IMPROVE","BAND11",35.7797,-106.2664,"109","144",2018-07-19,2018-07-19,"00",7,0.33248,0.33198,"1","NM"," Los Alamos","BAND1"
"IMPROVE","BAND11",35.7797,-106.2664,"109","144",2018-07-22,2018-07-22,"00",7,0.68726,0.47147,"1","NM"," Los Alamos","BAND1"
"IMPROVE","BAND11",35.7797,-106.2664,"109","144",2018-07-25,2018-07-25,"00",7,0.3382,0.28127,"1","NM"," Los Alamos","BAND1"
"IMPROVE","BAND11",35.7797,-106.2664,"109","144",2018-07-28,2018-07-28,"00",7,0.33109,0.14832,"1","NM"," Los Alamos","BAND1"
"IMPROVE","BIBE11",29.3027,-103.178,"047","163",2018-07-01,2018-07-01,"00",7,1.262,0.38519,"1","TX"," Brewster","BIBE1"
"IMPROVE","BIBE11",29.3027,-103.178,"047","163",2018-07-04,2018-07-04,"00",7,1.6376,1.0089,"1","TX"," Brewster","BIBE1"
"IMPROVE","BIBE11",29.3027,-103.178,"047","163",2018-07-07,2018-07-07,"00",7,0.80908,0.23231,"1","TX"," Brewster","BIBE1"
"IMPROVE","BIBE11",29.3027,-103.178,"047","163",2018-07-10,2018-07-10,"00",7,1.7921,1.1028,"1","TX"," Brewster","BIBE1"
"IMPROVE","BIBE11",29.3027,-103.178,"047","163",2018-07-13,2018-07-13,"00",7,0.86023,0.58251,"1","TX"," Brewster","BIBE1"
"IMPROVE","BIBE11",29.3027,-103.178,"047","163",2018-07-16,2018-07-16,"00",7,0.63686,0.746,"1","TX"," Brewster","BIBE1"
"IMPROVE","BIBE11",29.3027,-103.178,"047","163",2018-07-19,2018-07-19,"00",7,1.0283,0.51087,"1","TX"," Brewster","BIBE1"
"IMPROVE","BIBE11",29.3027,-103.178,"047","163",2018-07-22,2018-07-22,"00",7,1.8695,0.77499,"1","TX"," Brewster","BIBE1"
"IMPROVE","BIBE11",29.3027,-103.178,"047","163",2018-07-25,2018-07-25,"00",7,1.8251,1.5513,"1","TX"," Brewster","BIBE1"
"IMPROVE","BIBE11",29.3027,-103.178,"047","163",2018-07-28,2018-07-28,"00",7,2.3088,1.7113,"1","TX"," Brewster","BIBE1"
"IMPROVE","BIRM11",33.5531,-86.8148,"089","292",2018-07-01,2018-07-01,"00",7,2.0272,0.47725,"1","AL"," Jefferson","BIRM1"
"IMPROVE","BIRM11",33.5531,-86.8148,"089","292",2018-07-07,2018-07-07,"00",7,1.4453,0.74322,"1","AL"," Jefferson","BIRM1"
"IMPROVE","BIRM11",33.5531,-86.8148,"089","292",2018-07-10,2018-07-10,"00",7,2.4643,1.1164,"1","AL"," Jefferson","BIRM1"
"IMPROVE","BIRM11",33.5531,-86.8148,"089","292",2018-07-13,2018-07-13,"00",7,1.787,1.8152,"1","AL"," Jefferson","BIRM1"
"IMPROVE","BIRM11",33.5531,-86.8148,"089","292",2018-07-16,2018-07-16,"00",7,1,1.837,"1","AL"," Jefferson","BIRM1"
"IMPROVE","BIRM11",33.5531,-86.8148,"089","292",2018-07-19,2018-07-19,"00",7,1.897,1.0991,"1","AL"," Jefferson","BIRM1"
"IMPROVE","BIRM11",33.5531,-86.8148,"089","292",2018-07-22,2018-07-22,"00",7,1.6343,1.3882,"1","AL"," Jefferson","BIRM1"
"IMPROVE","BIRM11",33.5531,-86.8148,"089","292",2018-07-25,2018-07-25,"00",7,1.693,1.3486,"1","AL"," Jefferson","BIRM1"
"IMPROVE","BIRM11",33.5531,-86.8148,"089","292",2018-07-28,2018-07-28,"00",7,1.7853,1.3896,"1","AL"," Jefferson","BIRM1"
"IMPROVE","BLIS11",38.9761,-120.1025,"156","050",2018-07-01,2018-07-01,"00",7,0.25398,0.4873,"1","CA"," El Dorado","BLIS1"
"IMPROVE","BLIS11",38.9761,-120.1025,"156","050",2018-07-04,2018-07-04,"00",7,0.58613,0.45846,"1","CA"," El Dorado","BLIS1"
"IMPROVE","BLIS11",38.9761,-120.1025,"156","050",2018-07-07,2018-07-07,"00",7,0.42933,0.22699,"1","CA"," El Dorado","BLIS1"
"IMPROVE","BLIS11",38.9761,-120.1025,"156","050",2018-07-10,2018-07-10,"00",7,0.1978,0.31976,"1","CA"," El Dorado","BLIS1"
"IMPROVE","BLIS11",38.9761,-120.1025,"156","050",2018-07-13,2018-07-13,"00",7,0.72157,0.36452,"1","CA"," El Dorado","BLIS1"
"IMPROVE","BLIS11",38.9761,-120.1025,"156","050",2018-07-16,2018-07-16,"00",7,0.58402,0.317,"1","CA"," El Dorado","BLIS1"
"IMPROVE","BLIS11",38.9761,-120.1025,"156","050",2018-07-19,2018-07-19,"00",7,0.41076,0.31946,"1","CA"," El Dorado","BLIS1"
"IMPROVE","BLIS11",38.9761,-120.1025,"156","050",2018-07-22,2018-07-22,"00",7,1.582,0.47279,"1","CA"," El Dorado","BLIS1"
"IMPROVE","BLIS11",38.9761,-120.1025,"156","050",2018-07-25,2018-07-25,"00",7,0.52696,0.25388,"1","CA"," El Dorado","BLIS1"
"IMPROVE","BLIS11",38.9761,-120.1025,"156","050",2018-07-28,2018-07-28,"00",7,0.6801,0.37313,"1","CA"," El Dorado","BLIS1"
"IMPROVE","BOAP11",33.8695,-106.852,"092","138",2018-07-01,2018-07-01,"00",7,0.5347,0.41294,"1","NM"," Socorro","BOAP1"
"IMPROVE","BOAP11",33.8695,-106.852,"092","138",2018-07-04,2018-07-04,"00",7,0.73465,0.37756,"1","NM"," Socorro","BOAP1"
"IMPROVE","BOAP11",33.8695,-106.852,"092","138",2018-07-07,2018-07-07,"00",7,0.80641,0.49484,"1","NM"," Socorro","BOAP1"
"IMPROVE","BOAP11",33.8695,-106.852,"092","138",2018-07-10,2018-07-10,"00",7,0.80599,0.65736,"1","NM"," Socorro","BOAP1"
"IMPROVE","BOAP11",33.8695,-106.852,"092","138",2018-07-13,2018-07-13,"00",7,0.43855,0.095552,"1","NM"," Socorro","BOAP1"
"IMPROVE","BOAP11",33.8695,-106.852,"092","138",2018-07-16,2018-07-16,"00",7,0.42186,0.24972,"1","NM"," Socorro","BOAP1"
"IMPROVE","BOAP11",33.8695,-106.852,"092","138",2018-07-19,2018-07-19,"00",7,0.49665,0.24362,"1","NM"," Socorro","BOAP1"
"IMPROVE","BOAP11",33.8695,-106.852,"092","138",2018-07-22,2018-07-22,"00",7,0.69829,0.43849,"1","NM"," Socorro","BOAP1"
"IMPROVE","BOAP11",33.8695,-106.852,"092","138",2018-07-25,2018-07-25,"00",7,0.48134,0.35276,"1","NM"," Socorro","BOAP1"
"IMPROVE","BOAP11",33.8695,-106.852,"092","138",2018-07-28,2018-07-28,"00",7,0.70903,0.46485,"1","NM"," Socorro","BOAP1"
"IMPROVE","BOLA11",42.84648,-109.63973,"177","128",2018-07-01,2018-07-01,"00",7,0.15016,0.29308,"1","WY"," Sublette","BOLA1"
"IMPROVE","BOLA11",42.84648,-109.63973,"177","128",2018-07-04,2018-07-04,"00",7,0.36853,0.50081,"1","WY"," Sublette","BOLA1"
"IMPROVE","BOLA11",42.84648,-109.63973,"177","128",2018-07-07,2018-07-07,"00",7,0.52063,0.34651,"1","WY"," Sublette","BOLA1"
"IMPROVE","BOLA11",42.84648,-109.63973,"177","128",2018-07-10,2018-07-10,"00",7,0.51674,0.33916,"1","WY"," Sublette","BOLA1"
"IMPROVE","BOLA11",42.84648,-109.63973,"177","128",2018-07-13,2018-07-13,"00",7,0.14149,0.27803,"1","WY"," Sublette","BOLA1"
"IMPROVE","BOLA11",42.84648,-109.63973,"177","128",2018-07-16,2018-07-16,"00",7,0.33365,0.28407,"1","WY"," Sublette","BOLA1"
"IMPROVE","BOLA11",42.84648,-109.63973,"177","128",2018-07-19,2018-07-19,"00",7,0.30104,0.23969,"1","WY"," Sublette","BOLA1"
"IMPROVE","BOLA11",42.84648,-109.63973,"177","128",2018-07-22,2018-07-22,"00",7,0.44133,0.31796,"1","WY"," Sublette","BOLA1"
"IMPROVE","BOLA11",42.84648,-109.63973,"177","128",2018-07-25,2018-07-25,"00",7,0.43103,0.29431,"1","WY"," Sublette","BOLA1"
"IMPROVE","BOLA11",42.84648,-109.63973,"177","128",2018-07-28,2018-07-28,"00",7,0.51088,0.43094,"1","WY"," Sublette","BOLA1"
"IMPROVE","BOND11",40.052,-88.3733,"148","274",2018-07-07,2018-07-07,"00",7,0.40617,0.77016,"1","IL"," Champaign","BOND1"
"IMPROVE","BOND11",40.052,-88.3733,"148","274",2018-07-10,2018-07-10,"00",7,1.9356,1.4233,"1","IL"," Champaign","BOND1"
"IMPROVE","BOND11",40.052,-88.3733,"148","274",2018-07-13,2018-07-13,"00",7,1.5023,1.625,"1","IL"," Champaign","BOND1"
"IMPROVE","BOND11",40.052,-88.3733,"148","274",2018-07-16,2018-07-16,"00",7,1.9973,1.1578,"1","IL"," Champaign","BOND1"
"IMPROVE","BOND11",40.052,-88.3733,"148","274",2018-07-19,2018-07-19,"00",7,0.76969,1.1021,"1","IL"," Champaign","BOND1"
"IMPROVE","BOND11",40.052,-88.3733,"148","274",2018-07-22,2018-07-22,"00",7,1.4764,0.90494,"1","IL"," Champaign","BOND1"
"IMPROVE","BOND11",40.052,-88.3733,"148","274",2018-07-25,2018-07-25,"00",7,0.51803,0.49566,"1","IL"," Champaign","BOND1"
"IMPROVE","BOND11",40.052,-88.3733,"148","274",2018-07-28,2018-07-28,"00",7,0.4631,0.98504,"1","IL"," Champaign","BOND1"
"IMPROVE","BOWA11",47.9466,-91.4955,"219","248",2018-07-04,2018-07-04,"00",7,0.68315,1.0731,"1","MN"," Lake","BOWA1"
"IMPROVE","BOWA11",47.9466,-91.4955,"219","248",2018-07-07,2018-07-07,"00",7,0.30313,0.56792,"1","MN"," Lake","BOWA1"
"IMPROVE","BOWA11",47.9466,-91.4955,"219","248",2018-07-10,2018-07-10,"00",7,0.13167,0.5511,"1","MN"," Lake","BOWA1"
"IMPROVE","BOWA11",47.9466,-91.4955,"219","248",2018-07-13,2018-07-13,"00",7,0.40218,0.39678,"1","MN"," Lake","BOWA1"
"IMPROVE","BOWA11",47.9466,-91.4955,"219","248",2018-07-16,2018-07-16,"00",7,0.18319,0.51135,"1","MN"," Lake","BOWA1"
"IMPROVE","BOWA11",47.9466,-91.4955,"219","248",2018-07-19,2018-07-19,"00",7,0.4668,0.45655,"1","MN"," Lake","BOWA1"
"IMPROVE","BOWA11",47.9466,-91.4955,"219","248",2018-07-22,2018-07-22,"00",7,0.55779,0.30751,"1","MN"," Lake","BOWA1"
"IMPROVE","BOWA11",47.9466,-91.4955,"219","248",2018-07-25,2018-07-25,"00",7,0.19147,0.20594,"1","MN"," Lake","BOWA1"
"IMPROVE","BOWA11",47.9466,-91.4955,"219","248",2018-07-28,2018-07-28,"00",7,0.26031,0.41264,"1","MN"," Lake","BOWA1"
"IMPROVE","BRCA11",37.6184,-112.1736,"132","103",2018-07-01,2018-07-01,"00",7,0.20695,0.41138,"1","UT"," Garfield","BRCA1"
"IMPROVE","BRCA11",37.6184,-112.1736,"132","103",2018-07-04,2018-07-04,"00",7,0.48111,0.41833,"1","UT"," Garfield","BRCA1"
"IMPROVE","BRCA11",37.6184,-112.1736,"132","103",2018-07-07,2018-07-07,"00",7,0.57146,0.33722,"1","UT"," Garfield","BRCA1"
"IMPROVE","BRCA11",37.6184,-112.1736,"132","103",2018-07-10,2018-07-10,"00",7,0.46876,0.30604,"1","UT"," Garfield","BRCA1"
"IMPROVE","BRCA11",37.6184,-112.1736,"132","103",2018-07-13,2018-07-13,"00",7,0.31349,0.10778,"1","UT"," Garfield","BRCA1"
"IMPROVE","BRCA11",37.6184,-112.1736,"132","103",2018-07-16,2018-07-16,"00",7,0.29266,0.27765,"1","UT"," Garfield","BRCA1"
"IMPROVE","BRCA11",37.6184,-112.1736,"132","103",2018-07-19,2018-07-19,"00",7,0.73618,0.27254,"1","UT"," Garfield","BRCA1"
"IMPROVE","BRCA11",37.6184,-112.1736,"132","103",2018-07-22,2018-07-22,"00",7,0.60057,0.28458,"1","UT"," Garfield","BRCA1"
"IMPROVE","BRCA11",37.6184,-112.1736,"132","103",2018-07-25,2018-07-25,"00",7,0.43777,0.24129,"1","UT"," Garfield","BRCA1"
